Id,gender,grandiosity,fantasy_absorbtion,unique_belief,attention_seek,spec_treat,manipulation,empathy_lack,envy,arrogance,authority,self_suf,superiority,show_off,people_use,vanity,uniqueness,narcissism,narcissism_class,cleaned_grandiosity,cleaned_fantasy_absorbtion,cleaned_unique_belief,cleaned_attention_seek,cleaned_spec_treat,cleaned_manipulation,cleaned_empathy_lack,cleaned_envy,cleaned_arrogance,grandiosity_tfidf_мнение,grandiosity_tfidf_мой,grandiosity_tfidf_предложение,grandiosity_tfidf_решение,grandiosity_tfidf_свой,grandiosity_word_count,grandiosity_unique_words,fantasy_absorbtion_tfidf_план,fantasy_absorbtion_tfidf_свой,fantasy_absorbtion_tfidf_успех,fantasy_absorbtion_tfidf_цель,fantasy_absorbtion_tfidf_человек,fantasy_absorbtion_word_count,fantasy_absorbtion_unique_words,unique_belief_tfidf_другой,unique_belief_tfidf_идея,unique_belief_tfidf_критика,unique_belief_tfidf_мой,unique_belief_tfidf_человек,unique_belief_word_count,unique_belief_unique_words,attention_seek_tfidf_важно,attention_seek_tfidf_вклад,attention_seek_tfidf_делиться,attention_seek_tfidf_свой,attention_seek_tfidf_успех,attention_seek_word_count,attention_seek_unique_words,spec_treat_tfidf_замечание,spec_treat_tfidf_нарушать,spec_treat_tfidf_правило,spec_treat_tfidf_считать,spec_treat_tfidf_уважение,spec_treat_word_count,spec_treat_unique_words,manipulation_tfidf_говорить,manipulation_tfidf_другой,manipulation_tfidf_контролировать,manipulation_tfidf_прямо,manipulation_tfidf_человек,manipulation_word_count,manipulation_unique_words,empathy_lack_tfidf_другой,empathy_lack_tfidf_разобраться,empathy_lack_tfidf_свой,empathy_lack_tfidf_стараться,empathy_lack_tfidf_человек,empathy_lack_word_count,empathy_lack_unique_words,envy_tfidf_другой,envy_tfidf_команда,envy_tfidf_первый,envy_tfidf_похвала,envy_tfidf_человек,envy_word_count,envy_unique_words,arrogance_tfidf_достойный,arrogance_tfidf_идея,arrogance_tfidf_каждый,arrogance_tfidf_уважение,arrogance_tfidf_человек,arrogance_word_count,arrogance_unique_words,all_text
133048631,Мужской,"Во-первых что касаемо перспективность решения я конечно же остаюсь при своём мнении, но прежде всего я пытаюсь найти какие-нибудь аргументы, чтобы попытаться убедить участников что это не перспективное решение, но если уж не получается никак ничего тогда сдаюсь, ну конечно же не буду луковиц скажу что я могу и сразу сдаться бывает и такое.


А во-вторых что касаемо моей реакции на то что участники не отреагировали на собрание если я всего лишь участник проекта то я это оставляю на суд хозяина проекта будем так говорить основателя руководителя как хотят, если же проект мой то тут сказать очень сложно потому что команды ещё ни разу у меня не было, но мне почему-то кажется что я бы конечно возмутился бы и отреагировал бы негативно.


В-третьих что касается обсуждения мнений если его не принимают, опять же если это мой проект тут сказать конечно сложно но во всяком случае мне щас кажется что я попытался бы найти какую-нибудь альтернативу этому решению, или же это решение от корректировать, или попросил про аргументировать чем оно плохое или не принимается, в общем походу ситуации было бы видно, если проект не мой также как я уже сказал выше оставил бы на сут руководителя.","Во-первых если мой план провалился я бы конечно старалась бы искать другие пути решения и обратился бы за помощью, но для начала я бы попытался сделать многое сам.


Мой конечно успех зависел бы во-вторых что касаемо успеха, насчёт того какую роль они бы меня посторонние люди подтолкнули то есть роль подталкиваю щего человека к цели, то есть помогли мне обзавестись тем тем что мне надо для того чтобы добиваться целей, дальше я бы уже сам или же если у меня все получается сначала попробовал бы все сам, в каких-то ситуациях либо там где я провалился обратился бы за помощью.","Во-первых что касаемо того что мою идею не приняли я могу попросить предоставить факты, аргументы, какие-нибудь доводы.
Если все эти аргументы, доводы, факты верны и правильные и являются действительными, то я разумеется буду искать как эту идею скорректировать, или искать другие решения, если же ничего не удастся то прошу также людей принять какое-нибудь решение вместе со мной и предложите идею.


Что касается моих навыков по сравнению с навыками участников то я скажу так тут зависит от навыков.


В-третьих что касаемо критики моей идеи публично то я скажу так, в зависимости от того конечно же как критикуют если критикуют конструктивно, то пытаюсь тоже конструктивно, если негативно то не обращай внимания, либо стараюсь отвечать конструктивность и прошу объяснить этот негатив, что касаемо того как я объясняю эти причины то во-первых у кого-то может быть тяжелая неделя или день люди устали понятное дело, во-вторых кто-то боится может провала по-разному ведь бывает, конечно не спорю есть критики которым вечно что-то не нравится но это не всегда так.","Что касаемо во-первых того чтобы его вклада не оценили, но не оценили не оценили бы им судья.

Во-вторых что касаемо рассказа после успеха то я скажу так заметят другие так заметят, а не заметят ну и бог с ним я предпочитаю не разглашаться, не выпячиваться.


Конечно же предпочитаю не выпячиваться, не хвастаться, а если уж и делюсь то стараюсь особо не распыляться.","Во-первых насчёт того что преподаватель или начальник делает мне замечание, конечно же если замечание справедливое я конечно же попрошу прощения, если же не справедливая то чтобы публично не выносить ссор я попытаюсь поговорить один на один, то есть какие-нибудь такие крайние случаи то попытаюсь спокойно конструктивно поговорить публично об этом спросить про аргументы, по каким причинам человек мне сделал замечание.


А во-вторых я не считаю что ко мне должны относиться прям с большим уважением кто я такой, я не Господь бог чтоб ко мне с большим уважением относиться тем более не президент страны, и чиновник, какой-нибудь госслужащий.


Я не считаю что нужно нарушать общие правила.","Во-первых что касаемо кого-то переубеждение скрыть информации в зависимости от обстоятельств я бы конечно не хотел бы с кровати информа никогда и этого не люблю делать без повода, ну если пришлось бы то сложно тут сказать.


Конечно я в последнюю очередь стараюсь попросить или сказать об этом, но поначалу конечно я стараюсь это ждать потому что просить порой неудобно, да и пока это неудобства преодолеешь.


В-третьих что касается контроля я не люблю кого-то контролировать, потому что не люблю когда меня контролируют, вообще такого не понимаю как контролировать, что касаемо того что моё решение не совпадает с решением других тут конечно сначала попытаемся побеседовать, найти аргументы, если же ничего не помогает то пытаемся решать как найти универсальное решение.","А во-первых что касается того что группа делится переживаниями проблемами, я к этому отношусь нормально, конечно расстраиваюсь и переживаю если проблемы не решаемые или серьезные, стараюсь принять конечно же участие если это нужно если об этом просят или предлагаю поучаствовать.


Во-вторых что касается поведения других конечно же бывает такое что игнорирую но бывает такое что стараюсь разобраться а что к чему и как.


В-третьих насчёт эмоций конечно за сотрудни юсь ответить да ну несколько раз бывали такие случаи когда человек волейбол свой негатив на другого человека и мне хотелось чтобы он замолчал просто и перестал убивать негатив на слабого человека, потому что бывает такое что у или ты негатив не всегда обоснованный, мне это доставляет неудобство от того что мне больно когда люди друг на друга выливают свой негатив.","Во-первых что касаемо того что другая команда заняла место я за них очень рад, потому что бывает такое что человеку есть над чем работать, просто есть такие люди которые завидуют или возмущаются или относятся негативно к тому что кто-то лучше чем они, а я продержусь с такой позицией что если люди в чем-то лучше меня я за них рад, значит мне есть над чем работать.


Во-вторых как я отношусь к тому что кто-то достиг чего-то с помощью своих друзей и знакомых? Да я наоборот очень счастлив от того что у человека попадаются такие друзья знакомые, да они спорю бывают конечно такое когда жалко что так получилось ну сюжета не негативно.


В-третьих как я отношусь к тому когда приносят похвалу другим, я к этому отношусь нейтрально.","Мне сложно сказать потому что я проект не ввёл никогда, но сейчас мне почему-то кажется что если бы у меня такой человек был, я бы сначала попытался разобраться в чем причина что к чему и как, если причина уважительная если есть на это основание то есть есть это заболевания или неумение или ещё что-то то сначала попытались бы найти какую-нибудь решение, если же нет то тогда искали бы в проекте человеку там кто место где у нашего не будет или будет ошибаться меньше.


А во-вторых что касается нелогичной идеи как я уже сказал проекта я не имею своего, вернее проект есть но команды никогда ещё не было, мне кажется так что я бы если идею нелогичная сказал бы это публично, но старался это бы донести спокойно, постарался бы найти аргументы и всё тому подобное, но не в коем случае оскорбительно, не унизительно, и не стоит цели чтоб человека опозорить публично.


А в-третьих что касаемо того как я отношусь к тому что каждый человек достоин чтобы его уважали независимости от достижений, я к этому отношусь очень даже положительно, неважно кто сколько и чего достиг важно чтобы это было сделано с душой, с любовью, я если бы у меня была команда как мне кажется уважал бы людей не за достижения, а за сторонние, и за то что человек делает с любовью и душой и на совесть.",0,0,0,0,0,0,0,0,0,первый касаемо перспективность решение оставаться свой мнение прежде пытаться найти какой аргумент попытаться убедить участник перспективный решение получаться никак сдаваться луковица сказать сразу сдаться бывать второй касаемо мой реакция участник отреагировать собрание участник проект оставлять суд хозяин проект говорить основатель руководитель хотеть проект сказать очень сложно команда ещё раз почему казаться возмутиться отреагировать негативно третий касаться обсуждение мнение принимать проект сказать сложно всякий случай сейчас казаться попытаться найти какой альтернатива этот решение решение корректировать попросить аргументировать оно плохой приниматься общий поход ситуация видно проект также сказать выше оставить сут руководитель,первый план провалиться стараться искать другой путь решение обратиться помощь начало попытаться сделать многое успех зависеть второй касаемо успех насчёт какой роль посторонний человек подтолкнуть роль подталкивать щий человек цель помочь обзавестись добиваться цель далёкий получаться сначала попробовать какой ситуация либо провалиться обратиться помощь,первый касаемо мой идея принять попросить предоставить факт аргумент какой довод аргумент довод факт верный правильный являться действительный разумеется искать идея скорректировать искать другой решение удаться просить также человек принять какой решение вместе предложить идея касаться мой навык сравнение навык участник сказать зависеть навык третий касаемо критика мой идея публично сказать зависимость критиковать критиковать конструктивно пытаться конструктивно негативно обращать внимание либо стараться отвечать конструктивность просить объяснить негатив касаемо объяснять причина первый тяжёлый неделя день человек устать понятный дело второй бояться провал разный бывать спороть критика который вечно нравиться,касаемо первый вклад оценить оценить оценить судья второй касаемо рассказ успех сказать заметить другой заметить заметить бог предпочитать разглашаться выпячиваться предпочитать выпячиваться хвастаться делиться стараться особо распыляться,первый насчёт преподаватель начальник делать замечание замечание справедливый попросить прощение справедливый публично выносить ссора попытаться поговорить какой крайний случай попытаться спокойно конструктивно поговорить публично спросить аргумент какой причина человек сделать замечание второй считать должный относиться прям больший уважение господь бог больший уважение относиться президент страна чиновник госслужащий считать нужно нарушать общий правило,первый касаемо переубеждение скрыть информация зависимость обстоятельство хотеть кровать информ любить делать повод прийтись сложно сказать последний очередь стараться попросить сказать поначалу стараться ждать просить порой неудобно пока неудобство преодолеть третий касаться контроль любить контролировать любить контролировать вообще понимать контролировать касаемо мой решение совпадать решение другой сначала попытаться побеседовать найти аргумент помогать пытаться решать найти универсальный решение,первый касаться группа делиться переживание проблема этот относиться нормально расстраиваться переживать проблема решать серьёзный стараться принять участие нужно просить предлагать поучаствовать второй касаться поведение другой бывать игнорировать бывать стараться разобраться что третий насчёт эмоция сотрудня юсь ответить несколько бывать случай человек волейбол свой негатив другой человек хотеться замолчать просто перестать убивать негатив слабый человек бывать негатив обоснованный доставлять неудобство больно человек друг друг выливать свой негатив,первый касаемо другой команда занять место очень рад бывать человек работать просто человек который завидовать возмущаться относиться негативно продержаться позиция человек рад значит работать второй относиться достигнуть помощь свой друг знакомый наоборот очень счастливый человек попадаться друг знакомый спороть бывать жалко получиться сюжет негативно третий относиться приносить похвала другой этот относиться нейтрально,сложно сказать проект ввести почему казаться человек сначала попытаться разобраться причина что причина уважительный основание заболевание неумение ещё сначала попытаться найти какой решение искать проект человек место наш ошибаться маленький второй касаться нелогичный идея сказать проект иметь свой верный проект команда ещё казаться идея нелогичный сказать публично стараться донести спокойно постараться найти аргумент всё подобный кой случай оскорбительно унизительно стоить цель человек опозорить публично третий касаемо относиться каждый человек достойный уважать независимость достижение этот относиться очень положительно неважно сколько достигнуть важно сделать душа любовь команда казаться уважать человек достижение сторонний человек делать любовь душа совесть,0.35981750444410876,0.18943482179357404,0.0,0.9007119448350107,0.1528522300105008,90,69,0.2635972697448106,0.0,0.5294231872937706,0.5503597997286277,0.5893485038425496,44,36,0.20473153594679055,0.6303432462798595,0.3224453708742693,0.543543861119677,0.40167330493711517,88,65,0.0,0.6528085324403975,0.5534187002202359,0.0,0.5172704923147646,27,20,0.6736509277842435,0.23550832915288328,0.18771188492552562,0.48881414921393695,0.4653549507429852,52,41,0.0,0.3342773467500903,0.9424747505634938,0.0,0.0,57,47,0.4686760816794944,0.202927655117749,0.45970773629833983,0.37590840940541903,0.6217111565475658,66,51,0.3454224142601304,0.21117524989069195,0.23340891096125707,0.18892621292108844,0.8636640179580728,52,38,0.20855006734408116,0.38566589328784195,0.20164203511430778,0.0,0.8758476910058224,95,69,первый касаемо перспективность решение оставаться свой мнение прежде пытаться найти какой аргумент попытаться убедить участник перспективный решение получаться никак сдаваться луковица сказать сразу сдаться бывать второй касаемо мой реакция участник отреагировать собрание участник проект оставлять суд хозяин проект говорить основатель руководитель хотеть проект сказать очень сложно команда ещё раз почему казаться возмутиться отреагировать негативно третий касаться обсуждение мнение принимать проект сказать сложно всякий случай сейчас казаться попытаться найти какой альтернатива этот решение решение корректировать попросить аргументировать оно плохой приниматься общий поход ситуация видно проект также сказать выше оставить сут руководитель первый план провалиться стараться искать другой путь решение обратиться помощь начало попытаться сделать многое успех зависеть второй касаемо успех насчёт какой роль посторонний человек подтолкнуть роль подталкивать щий человек цель помочь обзавестись добиваться цель далёкий получаться сначала попробовать какой ситуация либо провалиться обратиться помощь первый касаемо мой идея принять попросить предоставить факт аргумент какой довод аргумент довод факт верный правильный являться действительный разумеется искать идея скорректировать искать другой решение удаться просить также человек принять какой решение вместе предложить идея касаться мой навык сравнение навык участник сказать зависеть навык третий касаемо критика мой идея публично сказать зависимость критиковать критиковать конструктивно пытаться конструктивно негативно обращать внимание либо стараться отвечать конструктивность просить объяснить негатив касаемо объяснять причина первый тяжёлый неделя день человек устать понятный дело второй бояться провал разный бывать спороть критика который вечно нравиться касаемо первый вклад оценить оценить оценить судья второй касаемо рассказ успех сказать заметить другой заметить заметить бог предпочитать разглашаться выпячиваться предпочитать выпячиваться хвастаться делиться стараться особо распыляться первый насчёт преподаватель начальник делать замечание замечание справедливый попросить прощение справедливый публично выносить ссора попытаться поговорить какой крайний случай попытаться спокойно конструктивно поговорить публично спросить аргумент какой причина человек сделать замечание второй считать должный относиться прям больший уважение господь бог больший уважение относиться президент страна чиновник госслужащий считать нужно нарушать общий правило первый касаемо переубеждение скрыть информация зависимость обстоятельство хотеть кровать информ любить делать повод прийтись сложно сказать последний очередь стараться попросить сказать поначалу стараться ждать просить порой неудобно пока неудобство преодолеть третий касаться контроль любить контролировать любить контролировать вообще понимать контролировать касаемо мой решение совпадать решение другой сначала попытаться побеседовать найти аргумент помогать пытаться решать найти универсальный решение первый касаться группа делиться переживание проблема этот относиться нормально расстраиваться переживать проблема решать серьёзный стараться принять участие нужно просить предлагать поучаствовать второй касаться поведение другой бывать игнорировать бывать стараться разобраться что третий насчёт эмоция сотрудня юсь ответить несколько бывать случай человек волейбол свой негатив другой человек хотеться замолчать просто перестать убивать негатив слабый человек бывать негатив обоснованный доставлять неудобство больно человек друг друг выливать свой негатив первый касаемо другой команда занять место очень рад бывать человек работать просто человек который завидовать возмущаться относиться негативно продержаться позиция человек рад значит работать второй относиться достигнуть помощь свой друг знакомый наоборот очень счастливый человек попадаться друг знакомый спороть бывать жалко получиться сюжет негативно третий относиться приносить похвала другой этот относиться нейтрально сложно сказать проект ввести почему казаться человек сначала попытаться разобраться причина что причина уважительный основание заболевание неумение ещё сначала попытаться найти какой решение искать проект человек место наш ошибаться маленький второй касаться нелогичный идея сказать проект иметь свой верный проект команда ещё казаться идея нелогичный сказать публично стараться донести спокойно постараться найти аргумент всё подобный кой случай оскорбительно унизительно стоить цель человек опозорить публично третий касаемо относиться каждый человек достойный уважать независимость достижение этот относиться очень положительно неважно сколько достигнуть важно сделать душа любовь команда казаться уважать человек достижение сторонний человек делать любовь душа совесть
133047621,Женский,"Я выскажусь, что, возможно, стоит поступить по-другому и предложу свой вариант.

Я буду немного обескуражена, но зависит от ситуации и того, насколько серьёзный вопрос обсуждался и какие последствия общего решения будут ждать всех участников проекта.

Не уверена, что моё предложение лучшее, а высказываюсь, только если уверена в целесообразности этого действия. Если моё мнение не принимают, могу высказать аргументы в поддержку своего мнения, но настаивать не буду.","Когда я мечтаю о будущем успехе, иногда это занимает довольно большое количество времени. ""Как круто было бы, если..."" О конкретных шагах тоже думаю (надо получить то, купить это), но больше о приятном будущем, когда оно как бы уже наступило.

Моя роль — проявление своих лучших качеств для достижения успеха. Конечно, другие люди будут влиять на это; как правило, нужно уметь налаживать связи с людьми для достижения почти любой цели.

Когда мои планы проваливаются, меня это обычно достаточно сильно фрустрирует и захватывают негативные эмоции. Справляться с этим тяжело. Стараюсь отвлечься, но, как правило, затягивает в болото самоуничижения на какое-то время. Чувствую себя неудачницей и всё такое.","Это обескураживает, если я знаю, что предложение абсолютно адекватное. Если ответ о странности идеи, спрашиваю, почему её сочли странной. Стараюсь привести контраргументы.

Отличаюсь обычно в невыгодную сторону: быстро устаю, не умею быстро реагировать в неожиданных ситуациях и креативить. Но в целом у меня, как правило, более высокий уровень интеллекта, но пользоваться им должным образом я могу только в благоприятных условиях — при отсутствии негатива, сильного стресса, истощения. Навыки — не знаю, честно. Наверное, готовность разбираться в смежных вопросах и областях в ходе работы. Потому что многие и шага в сторону не ступят.

Критика и критика. Зависит от критикующего. Если вижу, что по делу, от обидно, но понимаю , что это справедливо. А вот критиканство не люблю, и оно злит.","Обидно, но иногда лучше быть невидимкой в группе, чтобы и претензии к тебе не предъявили. Ведь тебя не заметили. Но обычно хочется, чтобы усилия отмечались. И конечно же, усилия должны соответственно вознаграждаться.

Когда как. Иногда сложно активно заявлять о себе, потому что в голове мысль, что назовут высокомерной или выскочкой, и это негативно скажется на восприятии коллективом.

Да не сказала бы, что часто. С близкими могу делиться даже мелкими успехами. А просто с кем попало — нет такого.","Первая мысль о самоанализе — насколько замечание справедливо? Но при несправедливости замечания я скорее буду надеяться, что за меня кто-нибудь вступится, чем буду активно возражать. У меня не выработана привычка отстаивать себя. Для меня это очень тяжело морально, психологически.

Да, считаю. Потому что обычно люди пытаются тупо меня использовать под маской доброжелательности и хорошего отношения. Пользуются моей добротой и мягкотелостью. Либо тупо пытаются слить на меня свою накопленную агрессию. Либо не воспринимают вообще всерьёз (у меня хрупкое телосложение), когда какого-то нибудь мужика или хабалку точно бы уважали. От этого иногда такая тоска накатывает.

Общие правила можно нарушить только при форс-мажоре, когда от этого зависит чья-то жизнь, здоровье, но опять-таки, смотря какие правила. При этом не должны пострадать другие. Как проезд скорой по встрече на красный свет. Вообще, смотря какие правила. Вот в современном обществе есть негласное правило, что женщина должна быть при макияже. Конечно, это можно и нужно нарушать, чтобы переломить тенденцию, так как это фактор дискриминации женщин. Но, скажем, правила дорожного движения нарушать нельзя, и я не считаю, что мне можно иногда их нарушать. Однако это не значит, что я никогда этого не делаю (изредка перебегаю дорогу в неположенном месте). При этом вроде как внутренний дискомфорт, хотя никто при этом не пострадал (перебегаю, только если машины достаточно далеко и не слишком быстро едут). Почему? Потому что городская среда не всегда грамотно выстроена, потому что тороплюсь, потому что не хочется обходить вокруг. То есть из экономии ресурсов. При этом и в голову не придёт игнорировать правила, от которых зависит жизнь (проход железнодорожного переезда и т.п.). Сложная тема на самом деле.","Интересный вопрос. Я не попадала в такие ситуации. И не могу с ходу представить, в каких случаях это было бы оправданно.

Говорю, хотя иногда это тяжело. Но не всегда. Зависит от ситуации и от людей, с которыми для этого нужно взаимодействовать. Мне тяжело активно отстаивать себя и свои интересы и нужды.

У меня нет потребности контролировать других. Переубедить пытаюсь, если вопрос острый и важный, если от этого зависит моё благополучие, но опять же по ситуации — иногда спорить себе дороже и стоит слишком большого количества ресурсов. Тут каждый раз взвешиваешь, стоит ли оно того. А иногда в таком споре рождается истина, и вообще оба человека приходят к третьему общему мнению. Хотя такое, конечно, бывает довольно редко.","Если просто делится, воспринимаю буднично. А если человек токсично ноет, выплёскивая своё недовольство для эмоциональной подпитки от окружающих, то это очень раздражает. В первом случае постараюсь посочувствовать, во втором буду игнорировать по возможности.

Стараюсь разобраться, но необязательно в диалоге с этим человеком. Это можно делать и постфактум — подумать, погуглить и т.д.

Нет, не ловила. Но чужие чувства иногда действительно ощущались как неудобство. Тогда я старалась абстрагироваться от этого человека.","Да ничего. Рада за них. Всегда быть лучше остальных невозможно, и это не моя цель.

Как к прозе жизни. Мы все изначально очень не равны между собой. Иногда от этого грустно, но если человек, которому дали лучший старт и у которого больше ресурсов, адекватный и не считает всех, кому не удастся то же самое, мусором, то к таким людям я отношусь нормально.

Абсолютно нормально. Всех надо хвалить. Социальные поглаживания нужны всем.","Если ошибается не специально, а просто по незнанию или невнимательности, то постараюсь объяснить или помочь. Или просто отнестись с пониманием.

Подниму бровь, наверное. Но чаще всего промолчу при этом. 

Это хорошая идея. Не всем быть суперпродуктивными и полезными, но от этого они не перестают быть достойными людьми.",0,0,0,1,0,1,1,3,0,высказаться возможно стоить поступить другой предложить свой вариант немного обескуражить зависеть ситуация насколько серьёзный вопрос обсуждаться какой последствие общий решение ждать участник проект уверить мой предложение хороший высказываться уверить целесообразность действие мой мнение принимать высказать аргумент поддержка свой мнение настаивать,мечтать будущее успех занимать довольно большой количество время круто конкретный шаг думать получить купить приятный будущее оно наступить роль проявление свой хороший качество достижение успех другой человек влиять правило нужно уметь налаживать связь человек достижение любой цель мой план проваливаться обычно достаточно сильно фрустрировать захватывать негативный эмоция справляться тяжело стараться отвлечься правило затягивать болото самоуничижение какой время чувствовать неудачница всё,обескураживать знать предложение абсолютно адекватный ответ странность идея спрашивать почему счесть странный стараться привести контраргумент отличаться обычно невыгодный сторона быстро уставать уметь быстро реагировать неожиданный ситуация креативить целое правило высокий уровень интеллект пользоваться должный образ благоприятный условие отсутствие негатив сильный стресс истощение навык знать честно наверное готовность разбираться смежный вопрос область ход работа многие шаг сторона ступить критика критика зависеть критиковать видеть дело обидно понимать справедливо критиканство любить оно злить,обидно невидимка группа претензия предъявить заметить обычно хотеться усилие отмечаться усилие должный соответственно вознаграждаться сложно активно заявлять голова мысль назвать высокомерный выскочка негативно сказаться восприятие коллектив сказать часто близкий делиться мелкий успех просто попасть,первый мысль самоанализ насколько замечание справедливо несправедливость замечание скорее надеяться вступиться активно возражать выработать привычка отстаивать очень тяжело морально психологически считать обычно человек пытаться тупо использовать маска доброжелательность хороший отношение пользоваться мой доброта мягкотелость либо тупо пытаться слить накопить агрессия либо воспринимать вообще всерьёз хрупкий телосложение какой мужик хабалка точно уважать тоска накатывать общий правило нарушить форс мажор зависеть чей жизнь здоровье таки смотреть какой правило должный пострадать другой проезд скорый встреча красный свет вообще смотреть какой правило современный общество негласный правило женщина должный макияж нужно нарушать переломить тенденция фактор дискриминация женщина скажем правило дорожный движение нарушать считать нарушать однако значит делать изредка перебегать дорога неположенный место вроде внутренний дискомфорт хотя никто пострадать перебегать машина достаточно далеко слишком быстро ехать почему городской среда грамотно выстроить торопиться хотеться обходить вокруг экономия ресурс голова прийти игнорировать правило который зависеть жизнь проход железнодорожный переезд так сложный тема дело,интересный вопрос попадать ситуация ход представить какой случай оправданный говорить хотя тяжело зависеть ситуация человек который нужно взаимодействовать тяжело активно отстаивать свой интерес нужда потребность контролировать другой переубедить пытаться вопрос острый важный зависеть мой благополучие ситуация спорить дорогой стоить слишком большой количество ресурс каждый взвешивать стоить оно спор рождаться истина вообще оба человек приходить третий общий мнение хотя бывать довольно редко,просто делиться воспринимать буднично человек токсичный ныть выплёскивать свой недовольство эмоциональный подпитка окружающий очень раздражать первый случай постараться посочувствовать второй игнорировать возможность стараться разобраться необязательно диалог человек делать постфактум подумать погуглить так далее ловить чужой чувство действительно ощущаться неудобство стараться абстрагироваться человек,рада остальной невозможно цель проза жизнь изначально очень равный себя грустно человек который дать хороший старт который ресурс адекватный считать удаться самый мусор человек относиться нормально абсолютно нормально хвалить социальный поглаживание нужный,ошибаться специально просто незнание невнимательность постараться объяснить помочь просто отнестись понимание поднять бровь наверное частый промолчать хороший идея суперпродуктивный полезный переставать достойный человек,0.5257877559205032,0.553627928679691,0.3304838450457525,0.32904410316088106,0.44671440389665384,40,36,0.2845692139824316,0.3151297617396228,0.5715443882181104,0.2970733645457026,0.6362373960191523,60,54,0.0,0.43908835867866125,0.898443884320484,0.0,0.0,70,66,0.0,0.0,0.730563608832674,0.0,0.6828446481077375,34,33,0.302214350808725,0.47544354562964053,0.7579044397014045,0.32893887177601344,0.0,145,123,0.3093131856340743,0.38164266808110764,0.3586728025905144,0.0,0.7937430615600365,61,53,0.0,0.301589992246254,0.34160758558342225,0.5586730611561977,0.6929878388450498,42,39,0.0,0.0,0.0,0.0,1.0,32,29,0.6530395626457137,0.6038240348887824,0.0,0.0,0.4570950278772737,23,22,высказаться возможно стоить поступить другой предложить свой вариант немного обескуражить зависеть ситуация насколько серьёзный вопрос обсуждаться какой последствие общий решение ждать участник проект уверить мой предложение хороший высказываться уверить целесообразность действие мой мнение принимать высказать аргумент поддержка свой мнение настаивать мечтать будущее успех занимать довольно большой количество время круто конкретный шаг думать получить купить приятный будущее оно наступить роль проявление свой хороший качество достижение успех другой человек влиять правило нужно уметь налаживать связь человек достижение любой цель мой план проваливаться обычно достаточно сильно фрустрировать захватывать негативный эмоция справляться тяжело стараться отвлечься правило затягивать болото самоуничижение какой время чувствовать неудачница всё обескураживать знать предложение абсолютно адекватный ответ странность идея спрашивать почему счесть странный стараться привести контраргумент отличаться обычно невыгодный сторона быстро уставать уметь быстро реагировать неожиданный ситуация креативить целое правило высокий уровень интеллект пользоваться должный образ благоприятный условие отсутствие негатив сильный стресс истощение навык знать честно наверное готовность разбираться смежный вопрос область ход работа многие шаг сторона ступить критика критика зависеть критиковать видеть дело обидно понимать справедливо критиканство любить оно злить обидно невидимка группа претензия предъявить заметить обычно хотеться усилие отмечаться усилие должный соответственно вознаграждаться сложно активно заявлять голова мысль назвать высокомерный выскочка негативно сказаться восприятие коллектив сказать часто близкий делиться мелкий успех просто попасть первый мысль самоанализ насколько замечание справедливо несправедливость замечание скорее надеяться вступиться активно возражать выработать привычка отстаивать очень тяжело морально психологически считать обычно человек пытаться тупо использовать маска доброжелательность хороший отношение пользоваться мой доброта мягкотелость либо тупо пытаться слить накопить агрессия либо воспринимать вообще всерьёз хрупкий телосложение какой мужик хабалка точно уважать тоска накатывать общий правило нарушить форс мажор зависеть чей жизнь здоровье таки смотреть какой правило должный пострадать другой проезд скорый встреча красный свет вообще смотреть какой правило современный общество негласный правило женщина должный макияж нужно нарушать переломить тенденция фактор дискриминация женщина скажем правило дорожный движение нарушать считать нарушать однако значит делать изредка перебегать дорога неположенный место вроде внутренний дискомфорт хотя никто пострадать перебегать машина достаточно далеко слишком быстро ехать почему городской среда грамотно выстроить торопиться хотеться обходить вокруг экономия ресурс голова прийти игнорировать правило который зависеть жизнь проход железнодорожный переезд так сложный тема дело интересный вопрос попадать ситуация ход представить какой случай оправданный говорить хотя тяжело зависеть ситуация человек который нужно взаимодействовать тяжело активно отстаивать свой интерес нужда потребность контролировать другой переубедить пытаться вопрос острый важный зависеть мой благополучие ситуация спорить дорогой стоить слишком большой количество ресурс каждый взвешивать стоить оно спор рождаться истина вообще оба человек приходить третий общий мнение хотя бывать довольно редко просто делиться воспринимать буднично человек токсичный ныть выплёскивать свой недовольство эмоциональный подпитка окружающий очень раздражать первый случай постараться посочувствовать второй игнорировать возможность стараться разобраться необязательно диалог человек делать постфактум подумать погуглить так далее ловить чужой чувство действительно ощущаться неудобство стараться абстрагироваться человек рада остальной невозможно цель проза жизнь изначально очень равный себя грустно человек который дать хороший старт который ресурс адекватный считать удаться самый мусор человек относиться нормально абсолютно нормально хвалить социальный поглаживание нужный ошибаться специально просто незнание невнимательность постараться объяснить помочь просто отнестись понимание поднять бровь наверное частый промолчать хороший идея суперпродуктивный полезный переставать достойный человек
